Axis1,Axis2,Axis3,Steps,Lux,Inclinometer Off,Inclinometer Standing,Inclinometer Sitting,Inclinometer Lying
0,32,0,0,67,3,0,0,7
4,20,4,0,68,6,0,0,4
214,149,37,2,80,0,10,0,0
34,74,22,3,118,3,0,0,7
36,67,94,2,108,0,0,0,10
31,26,62,0,87,0,0,0,10
18,65,61,1,78,0,0,0,10
5,35,13,0,75,0,0,0,10
0,20,3,0,72,0,0,0,10
21,56,21,1,71,0,0,0,10
18,34,32,1,68,0,0,5,5
5,68,7,0,80,0,0,7,3
0,3,5,0,31,0,0,1,9
67,109,17,1,24,0,0,2,8
140,281,58,1,232,0,10,0,0
163,445,286,5,309,0,10,0,0
55,75,123,2,214,0,0,8,2
0,8,8,0,219,0,0,10,0
3,11,0,0,182,0,0,10,0
197,29,19,0,185,0,10,0,0
152,36,12,1,285,0,10,0,0
11,62,17,1,475,0,0,8,2
33,32,55,0,184,0,0,7,3
2,13,2,1,233,0,0,6,4
0,3,4,0,189,0,0,10,0
0,0,0,0,254,0,0,10,0
0,2,21,0,172,0,0,10,0
0,0,3,0,217,0,0,10,0
224,159,199,3,324,0,10,0,0
123,167,149,3,204,0,10,0,0
28,73,45,1,138,0,0,10,0
82,134,71,3,135,0,10,0,0
83,16,24,1,151,0,10,0,0
436,132,84,2,212,0,10,0,0
406,101,123,3,183,0,10,0,0
264,318,237,6,80,0,10,0,0
243,236,130,2,0,0,10,0,0
156,97,39,1,0,0,10,0,0
346,217,230,3,0,0,10,0,0
346,197,280,4,96,0,10,0,0
21,35,36,2,49,0,0,7,3
0,8,4,0,0,0,0,10,0
0,0,10,0,0,0,0,10,0
44,157,89,2,0,0,0,8,2
245,188,360,7,151,0,10,0,0
78,0,0,1,183,0,10,0,0
184,155,253,5,185,0,10,0,0
66,21,11,1,204,0,0,3,7
137,174,167,3,168,0,10,0,0
262,226,116,3,187,0,10,0,0
370,286,111,2,325,0,10,0,0
0,0,0,0,263,10,0,0,0
39,12,10,1,282,7,0,0,3
42,8,4,1,240,7,0,0,3
22,17,0,0,303,2,0,0,8
0,0,0,0,358,0,0,0,10
0,0,0,0,329,1,0,0,9
0,0,0,0,323,10,0,0,0
0,0,0,0,328,9,0,0,1
0,0,0,0,348,8,0,0,2
0,0,0,0,338,2,0,0,8
0,0,0,0,344,0,0,0,10
0,0,0,0,324,3,0,0,7
0,0,0,0,311,10,0,0,0
0,0,0,0,307,10,0,0,0
0,0,0,0,297,10,0,0,0
0,0,0,0,279,10,0,0,0
0,0,0,0,278,5,0,0,5
0,0,0,0,176,10,0,0,0
0,0,0,0,158,10,0,0,0
0,0,0,0,102,10,0,0,0
0,0,0,0,82,10,0,0,0
0,0,0,0,61,8,0,0,2
0,14,4,0,57,10,0,0,0
0,0,0,0,53,10,0,0,0
0,0,0,0,51,10,0,0,0
0,0,0,0,58,10,0,0,0
0,0,0,0,51,10,0,0,0
0,0,0,0,54,10,0,0,0
0,0,0,0,63,10,0,0,0
0,0,0,0,105,10,0,0,0
0,0,0,0,99,10,0,0,0
0,0,0,0,127,4,0,0,6
0,0,0,0,145,10,0,0,0
0,0,0,0,134,10,0,0,0
0,0,0,0,123,10,0,0,0
0,0,0,0,122,10,0,0,0
8,0,0,0,274,0,0,9,1
0,0,0,0,268,0,0,10,0
0,0,0,0,247,0,0,10,0
0,0,0,0,196,0,0,1,9
19,0,2,0,164,7,0,0,3
0,0,0,0,170,10,0,0,0
0,0,0,0,153,10,0,0,0
0,0,0,0,145,10,0,0,0
0,0,0,0,158,10,0,0,0
0,0,0,0,171,10,0,0,0
0,0,0,0,177,10,0,0,0
0,0,0,0,180,10,0,0,0
0,0,0,0,163,10,0,0,0
0,0,0,0,171,10,0,0,0
0,0,0,0,169,10,0,0,0
0,0,0,0,172,10,0,0,0
0,0,0,0,170,10,0,0,0
0,0,0,0,154,10,0,0,0
0,0,0,0,168,10,0,0,0
0,0,0,0,165,10,0,0,0
0,0,0,0,167,10,0,0,0
0,0,0,0,169,10,0,0,0
0,0,0,0,177,10,0,0,0
0,0,0,0,179,10,0,0,0
0,0,0,0,182,10,0,0,0
0,0,0,0,231,6,0,0,4
25,12,4,0,381,6,0,0,4
0,0,0,0,159,10,0,0,0
0,0,0,0,155,10,0,0,0
0,0,0,0,178,10,0,0,0
0,0,0,0,163,10,0,0,0
0,0,0,0,154,10,0,0,0
0,0,0,0,151,10,0,0,0
0,0,0,0,151,10,0,0,0
0,0,0,0,150,10,0,0,0
0,0,0,0,152,10,0,0,0
52,2,7,1,220,7,0,0,3
1,0,0,0,193,10,0,0,0
0,12,5,0,229,6,0,4,0
0,0,0,0,434,0,0,10,0
0,0,0,0,421,0,0,10,0
0,0,0,0,397,0,0,10,0
0,0,0,0,387,0,0,3,7
179,77,24,1,292,0,10,0,0
0,17,0,0,481,0,0,10,0
0,0,0,0,475,0,0,10,0
0,0,0,0,477,0,0,10,0
0,0,0,0,456,0,0,10,0
0,0,0,0,413,0,0,10,0
0,0,0,0,412,0,0,10,0
9,0,0,0,331,7,0,2,1
0,0,0,0,287,10,0,0,0
7,0,1,0,322,2,0,0,8
23,0,1,0,218,10,0,0,0
